เขต,เครือข่าย,ประเภท,รหัสหน่วยบริการ,ชื่อหน่วยบริการ,วัคซีน,Measure Names,Measure Values
เขต 7 ขอนแก่น,10709,แม่ข่าย,10709,รพ.กาฬสินธุ์,V12:ฉีดวัคซีนป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(กลุ่มพิเศษ),ฉีด,0
เขต 7 ขอนแก่น,10709,แม่ข่าย,10709,รพ.กาฬสินธุ์,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,442
เขต 7 ขอนแก่น,10709,แม่ข่าย,10709,รพ.กาฬสินธุ์,V12:ฉีดวัคซีนป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(กลุ่มพิเศษ),เป้าหมาย(รายหน่วย),0
เขต 7 ขอนแก่น,10709,แม่ข่าย,10709,รพ.กาฬสินธุ์,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),3160
เขต 7 ขอนแก่น,10709,แม่ข่าย,10709,รพ.กาฬสินธุ์,V12:ฉีดวัคซีนป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(กลุ่มพิเศษ),เป้าหมาย(ทั้งหมด),4560
เขต 7 ขอนแก่น,10709,แม่ข่าย,10709,รพ.กาฬสินธุ์,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),12000
เขต 7 ขอนแก่น,10709,ลูกข่าย,05291,รพ.สต.บ้านต้อน,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,29
เขต 7 ขอนแก่น,10709,ลูกข่าย,05291,รพ.สต.บ้านต้อน,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),400
เขต 7 ขอนแก่น,10709,ลูกข่าย,05291,รพ.สต.บ้านต้อน,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05292,รพ.สต.โนนสว่าง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,4
เขต 7 ขอนแก่น,10709,ลูกข่าย,05292,รพ.สต.โนนสว่าง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),750
เขต 7 ขอนแก่น,10709,ลูกข่าย,05292,รพ.สต.โนนสว่าง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05293,รพ.สต.บ้านหนองโพน,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,336
เขต 7 ขอนแก่น,10709,ลูกข่าย,05293,รพ.สต.บ้านหนองโพน,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),350
เขต 7 ขอนแก่น,10709,ลูกข่าย,05293,รพ.สต.บ้านหนองโพน,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05294,รพ.สต.บ้านหนองสอ,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,312
เขต 7 ขอนแก่น,10709,ลูกข่าย,05294,รพ.สต.บ้านหนองสอ,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),500
เขต 7 ขอนแก่น,10709,ลูกข่าย,05294,รพ.สต.บ้านหนองสอ,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05295,รพ.สต.บ้านสะอาดนาทม,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05295,รพ.สต.บ้านสะอาดนาทม,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),200
เขต 7 ขอนแก่น,10709,ลูกข่าย,05295,รพ.สต.บ้านสะอาดนาทม,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05296,รพ.สต.บ้านฝายแตก,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05296,รพ.สต.บ้านฝายแตก,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),300
เขต 7 ขอนแก่น,10709,ลูกข่าย,05296,รพ.สต.บ้านฝายแตก,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05297,รพ.สต.บ้านโนนแพง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,171
เขต 7 ขอนแก่น,10709,ลูกข่าย,05297,รพ.สต.บ้านโนนแพง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),250
เขต 7 ขอนแก่น,10709,ลูกข่าย,05297,รพ.สต.บ้านโนนแพง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05298,รพ.สต.บ้านเชียงเครือ,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,162
เขต 7 ขอนแก่น,10709,ลูกข่าย,05298,รพ.สต.บ้านเชียงเครือ,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),200
เขต 7 ขอนแก่น,10709,ลูกข่าย,05298,รพ.สต.บ้านเชียงเครือ,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05299,รพ.สต.บ้านแกเปะ,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,211
เขต 7 ขอนแก่น,10709,ลูกข่าย,05299,รพ.สต.บ้านแกเปะ,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),250
เขต 7 ขอนแก่น,10709,ลูกข่าย,05299,รพ.สต.บ้านแกเปะ,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05300,รพ.สต.บ้านท่าไคร้,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,253
เขต 7 ขอนแก่น,10709,ลูกข่าย,05300,รพ.สต.บ้านท่าไคร้,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),300
เขต 7 ขอนแก่น,10709,ลูกข่าย,05300,รพ.สต.บ้านท่าไคร้,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05301,รพ.สต.บ้านดงสว่าง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,2
เขต 7 ขอนแก่น,10709,ลูกข่าย,05301,รพ.สต.บ้านดงสว่าง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),700
เขต 7 ขอนแก่น,10709,ลูกข่าย,05301,รพ.สต.บ้านดงสว่าง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05302,รพ.สต.บ้านหนองแวงใหญ่,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,229
เขต 7 ขอนแก่น,10709,ลูกข่าย,05302,รพ.สต.บ้านหนองแวงใหญ่,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),350
เขต 7 ขอนแก่น,10709,ลูกข่าย,05302,รพ.สต.บ้านหนองแวงใหญ่,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05303,รพ.สต.บ้านเหล่าหลวง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,136
เขต 7 ขอนแก่น,10709,ลูกข่าย,05303,รพ.สต.บ้านเหล่าหลวง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),300
เขต 7 ขอนแก่น,10709,ลูกข่าย,05303,รพ.สต.บ้านเหล่าหลวง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05304,รพ.สต.บ้านคำไผ่,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,203
เขต 7 ขอนแก่น,10709,ลูกข่าย,05304,รพ.สต.บ้านคำไผ่,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),350
เขต 7 ขอนแก่น,10709,ลูกข่าย,05304,รพ.สต.บ้านคำไผ่,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05305,รพ.สต.บ้านเหล่ากลาง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,280
เขต 7 ขอนแก่น,10709,ลูกข่าย,05305,รพ.สต.บ้านเหล่ากลาง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),150
เขต 7 ขอนแก่น,10709,ลูกข่าย,05305,รพ.สต.บ้านเหล่ากลาง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05306,รพ.สต.บ้านน้ำบุ่น,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,202
เขต 7 ขอนแก่น,10709,ลูกข่าย,05306,รพ.สต.บ้านน้ำบุ่น,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),230
เขต 7 ขอนแก่น,10709,ลูกข่าย,05306,รพ.สต.บ้านน้ำบุ่น,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05307,รพ.สต.บ้านหนองแวงใต้,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,287
เขต 7 ขอนแก่น,10709,ลูกข่าย,05307,รพ.สต.บ้านหนองแวงใต้,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),300
เขต 7 ขอนแก่น,10709,ลูกข่าย,05307,รพ.สต.บ้านหนองแวงใต้,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05308,รพ.สต.โนนชัย,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,73
เขต 7 ขอนแก่น,10709,ลูกข่าย,05308,รพ.สต.โนนชัย,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),150
เขต 7 ขอนแก่น,10709,ลูกข่าย,05308,รพ.สต.โนนชัย,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05309,รพ.สต.บ้านโพนทอง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,236
เขต 7 ขอนแก่น,10709,ลูกข่าย,05309,รพ.สต.บ้านโพนทอง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),300
เขต 7 ขอนแก่น,10709,ลูกข่าย,05309,รพ.สต.บ้านโพนทอง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,05310,รพ.สต.บ้านนาจารย์,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,339
เขต 7 ขอนแก่น,10709,ลูกข่าย,05310,รพ.สต.บ้านนาจารย์,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),550
เขต 7 ขอนแก่น,10709,ลูกข่าย,05310,รพ.สต.บ้านนาจารย์,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
